Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,0,21,1,2349,76,7,2,RT,BFT,Treat(Fresh)Stim,274.674,25.326,300,0.91558,0.08442,20,19,0,37.34,1.332947,-8.735,-0.256452
1,1,0,21,1,2350,76,7,3,RT,BFT,Treat(Fresh)Post,254.724,45.276,300,0.849,0.151,30,30,0,1.059,1.5092,11.215,0.329262
1,1,0,21,1,2351,77,8,1,RT,BFT,Treat(Fresh)Pre,257.7,42.3,300,0.859,0.141,22,23,2.181,0,1.83913,NA,NA
1,1,0,21,1,2352,77,8,2,RT,BFT,Treat(Fresh)Stim,264.742,35.258,300,0.882473,0.117527,17,16,0,55.52,2.203625,-7.042,-0.166478
1,1,0,21,1,2353,77,8,3,RT,BFT,Treat(Fresh)Post,288.99,11.011,300.001,0.963,0.037,9,8,0,53.041,1.376375,-31.289,-0.739693
1,1,0,21,1,2354,78,9,1,RT,BFT,Treat(Fresh)Pre,228.646,71.354,300,0.762,0.238,42,41,0,3.321,1.740341,NA,NA
1,1,0,21,1,2355,78,9,2,RT,BFT,Treat(Fresh)Stim,275.163,24.837,300,0.91721,0.08279,16,15,0,38.841,1.6558,-46.517,-0.651919
1,1,0,21,1,2356,78,9,3,RT,BFT,Treat(Fresh)Post,272.632,27.368,300,0.909,0.091,19,18,0,57.361,1.520444,-43.986,-0.616448
1,1,0,21,1,2357,79,10,1,RT,BFT,Treat(Fresh)Pre,265.422,34.578,300,0.885,0.115,28,27,0,12.021,1.280667,NA,NA
1,1,0,21,1,2358,79,10,2,RT,BFT,Treat(Fresh)Stim,298.72,1.28,300,0.995733,0.004267,2,1,0,228.84,1.28,-33.298,-0.962982
1,1,0,21,1,2359,79,10,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-34.578,-1
1,1,0,21,2,2360,80,11,1,RT,BFT,Treat(Fresh)Pre,270.817,29.183,300,0.903,0.097,8,7,0,41.32,4.169,NA,NA
1,1,0,21,2,2361,80,11,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,0,-29.183,-1
1,1,0,21,2,2362,80,11,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-29.183,-1
1,1,0,21,2,2363,81,12,1,RT,BFT,Treat(Fresh)Pre,282.617,17.383,300,0.942,0.058,9,8,0,67.581,2.172875,NA,NA
1,1,0,21,2,2364,81,12,2,RT,BFT,Treat(Fresh)Stim,286.94,13.06,300,0.956467,0.043533,6,5,0,2.761,2.612,-4.323,-0.248691
1,1,0,21,2,2365,81,12,3,RT,BFT,Treat(Fresh)Post,295.389,4.611,300,0.985,0.015,3,2,0,36.145,2.3055,-12.772,-0.734741
1,1,0,21,2,2366,82,13,1,RT,BFT,Treat(Fresh)Pre,281.571,18.429,300,0.939,0.061,13,12,0,60.601,1.53575,NA,NA
1,1,0,21,2,2367,82,13,2,RT,BFT,Treat(Fresh)Stim,297.438,2.562,300,0.99146,0.00854,3,2,0,91.742,1.281,-15.867,-0.86098
1,1,0,21,2,2368,82,13,3,RT,BFT,Treat(Fresh)Post,298.72,1.28,300,0.996,0.004,2,1,0,57.141,1.28,-17.149,-0.930544
1,1,0,21,2,2369,83,14,1,RT,BFT,Treat(Fresh)Pre,300,0,300,1,0,1,0,0,NA,NA,NA,NA
1,1,0,21,2,2370,83,14,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,NA,NA,NA
1,1,0,21,2,2371,83,14,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,NA,NA,NA
1,1,0,21,2,2372,84,15,1,RT,BFT,Treat(Fresh)Pre,270.552,29.448,300,0.902,0.098,22,21,0,4.03,1.402286,NA,NA
1,1,0,21,2,2373,84,15,2,RT,BFT,Treat(Fresh)Stim,296.665,3.335,300,0.988883,0.011117,3,2,0,72.646,1.6675,-26.113,-0.88675
1,1,0,21,2,2374,84,15,3,RT,BFT,Treat(Fresh)Post,295.14,4.86,300,0.984,0.016,4,3,0,82.524,1.62,-24.588,-0.834963
1,1,0,21,2,2375,85,16,1,RT,BFT,Treat(Fresh)Pre,300,0,300,1,0,1,0,0,NA,NA,NA,NA
1,1,0,21,2,2376,85,16,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,NA,NA,NA
1,1,0,21,2,2377,85,16,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,NA,NA,NA
1,1,0,21,2,2378,86,17,1,RT,BFT,Treat(Fresh)Pre,239.615,60.385,300,0.799,0.201,23,23,2.481,0,2.625435,NA,NA
1,1,0,21,2,2379,86,17,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,0,-60.385,-1
1,1,0,21,2,2380,86,17,3,RT,BFT,Treat(Fresh)Post,300,0,300,1,0,1,0,0,NA,0,-60.385,-1
